Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,BbAvH,BbAvD,BbAvA,HValue,AValue,HAcc,AAcc,HConv,AConv,HCurrentPoints,ACurrentPoints,FTHG_5Avg,FTAG_5Avg,HS_5Avg,AS_5Avg,HST_5Avg,AST_5Avg,HAcc_5Avg,AAcc_5Avg,HConv_5Avg,AConv_5Avg,HRating,ARating,Value_Diff,CurrentPoints_Diff,Rating_Diff,FTG_5Avg_Diff,S_5Avg_Diff,ST_5Avg_Diff,Acc_5Avg_Diff,Conv_5Avg_Diff
2013-2014,2013-08-31,Cardiff,Everton,0,0,D,4,13,1,3,3.13,3.31,2.29,0.0,0.24219228413962032,0.24999937500156252,0.23076905325457442,0.0,0.0,3,2,1.5,1.0,10.5,20.5,3.5,7.0,0.3749995949078479,0.3397127529132472,0.16666648148168725,0.05263155124655198,0.0,0.374043419,-0.24219228413962032,1,-0.374043419,0.5,-10.0,-3.5,0.03528684199460069,0.11403493023513528
2013-2014,2013-08-31,Crystal Palace,Sunderland,3,1,H,17,10,6,2,2.49,3.22,2.89,0.0,0.0,0.3529409688582536,0.1999998000002,0.1764704844291268,0.0999999000001,0,1,0.5,0.5,9.5,14.0,4.0,3.0,0.4785707010216993,0.26249972812531175,0.03571426020409985,0.06249992187509766,0.0,-0.325173862,0.0,-1,0.325173862,0.0,-4.5,1.0,0.21607097289638755,-0.026785661670997808
2013-2014,2013-08-31,Man City,Hull,2,0,H,12,7,6,2,1.16,7.53,15.78,1.0,0.0,0.49999958333368055,0.2857138775516035,0.16666652777789354,0.0,3,3,3.0,0.5,18.0,6.5,8.0,1.5,0.4312497648438798,0.22619013322047768,0.1624999109375494,0.08333319444467593,0.799241234,0.0,1.0,0,0.799241234,2.5,11.5,6.5,0.2050596316234021,0.07916671649287346
2013-2014,2013-08-31,Newcastle,Fulham,1,0,H,24,3,9,2,2.11,3.36,3.49,0.28930450029222676,0.0,0.3749998437500651,0.6666644444518518,0.04166664930556279,0.0,1,3,0.0,1.0,10.5,10.5,0.5,4.0,0.09999980000040001,0.3187496632817355,0.0,0.13124978046916222,-0.574511907,-0.24938197399999998,0.28930450029222676,-2,-0.32512993300000004,-1.0,0.0,-3.5,-0.21874986328133547,-0.13124978046916222
2013-2014,2013-08-31,Norwich,Southampton,1,0,H,15,11,4,2,2.84,3.27,2.5,0.08817625085762204,0.11182815959300958,0.2666664888890074,0.1818180165290759,0.06666662222225185,0.0,1,4,1.0,1.0,10.5,12.0,3.0,4.0,0.27884587925324494,0.3193274232049286,0.12499984375019532,0.10084021679275534,-0.42824300600000004,-0.275278438,-0.023651908735387542,-3,-0.15296456800000002,0.0,-1.5,-1.0,-0.04048154395168363,0.024159626957439978
2013-2014,2013-08-31,West Ham,Stoke,0,1,A,9,15,0,5,1.98,3.37,3.92,0.12065153863746093,0.0,0.0,0.3333331111112593,0.0,0.06666662222225185,4,3,1.0,1.0,12.0,12.0,2.5,4.5,0.19444424382742628,0.3785711010206993,0.055555524691375174,0.0714285204081997,-0.19102777399999998,-0.277504442,0.12065153863746093,1,0.08647666800000003,0.0,0.0,-2.0,-0.184126857193273,-0.01587299571682453
2013-2014,2013-09-01,West Brom,Swansea,0,2,A,10,12,1,4,2.55,3.34,2.73,0.0,0.0,0.0999999000001,0.33333305555578707,0.0,0.16666652777789354,1,0,0.0,0.5,9.0,12.0,1.5,5.5,0.18831144290807073,0.5336128313686312,0.0,0.029411747404854468,-0.099578264,-0.099516232,0.0,1,-6.203200000000353e-05,-0.5,-3.0,-4.0,-0.3453013884605605,-0.029411747404854468
2013-2014,2013-09-01,Liverpool,Man United,1,0,H,10,10,5,4,2.52,3.28,2.81,0.47798134830889644,0.7424513637005983,0.49999950000050003,0.3999996000004,0.0999999000001,0.0,6,4,1.0,2.0,15.5,14.0,6.0,5.0,0.3115381801779461,0.3487177044051687,0.11923056183472239,0.1333332444445037,0.6987894720000001,1.073525309,-0.26447001539170184,2,-0.374735837,-1.0,1.5,1.0,-0.03717952422722259,-0.014102682609781314
2013-2014,2013-09-01,Arsenal,Tottenham,1,0,H,12,14,5,4,2.08,3.46,3.47,0.5660305440500089,0.5394743040180885,0.4166663194447338,0.2857140816327988,0.08333326388894677,0.0,3,6,2.0,1.0,17.0,18.0,5.5,3.5,0.3194442582948619,0.1904023729260889,0.11458326750582497,0.05572752302813046,0.8760906909999999,0.500606288,0.026556240031920364,-3,0.37548440299999997,1.0,-1.0,2.0,0.129041885368773,0.05885574447769451
2013-2014,2013-09-14,Aston Villa,Newcastle,1,2,A,10,17,1,8,2.11,3.33,3.54,0.14179351002464868,0.2670874746808611,0.0999999000001,0.4705879584776715,0.0999999000001,0.11764698961941787,3,4,1.3333333333333333,0.3333333333333333,11.0,15.0,3.3333333333333335,3.3333333333333335,0.34982841712478824,0.1916664812502884,0.15872996724639207,0.013888883101854264,-0.549096205,-0.574511907,-0.1252939646562124,-1,0.025415701999999984,1.0,-4.0,0.0,0.15816193587449984,0.1448410841445378
