season,team,rating
2017-2018,Arsenal,0.125011576
2017-2018,Brighton,-0.074873493
2017-2018,Chelsea,-0.350061406
2017-2018,Crystal Palace,-0.275191542
2017-2018,Everton,0.224865014
2017-2018,Southampton,-0.174413559
2017-2018,Watford,-0.024294945
2017-2018,West Brom,-0.300054374
2017-2018,Man United,0.124770646
2017-2018,Newcastle,0.275736312
2017-2018,Bournemouth,-0.026113256
2017-2018,Burnley,0.124820133
2017-2018,Leicester,-0.400084382
2017-2018,Liverpool,0.299943691
2017-2018,Stoke,0.44996326
2017-2018,Swansea,0.350207662
2017-2018,Huddersfield,-0.550066859
2017-2018,Tottenham,0.075051253
2017-2018,Man City,0.274943943
2017-2018,West Ham,-0.150159834
2016-2017,Burnley,-0.400000056
2016-2017,Crystal Palace,-0.32499985
2016-2017,Everton,0.450000398
2016-2017,Hull,-1.075000335
2016-2017,Man City,1.024999865
2016-2017,Middlesbrough,-0.650000111
2016-2017,Southampton,-0.17499958
2016-2017,Arsenal,0.824999977
2016-2017,Bournemouth,-0.299999623
2016-2017,Chelsea,1.299999503
2016-2017,Man United,0.625000131
2016-2017,Leicester,-0.374999768
2016-2017,Stoke,-0.374999604
2016-2017,Swansea,-0.625000091
2016-2017,Tottenham,1.499999081
2016-2017,Watford,-0.700000002
2016-2017,West Brom,-0.199999784
2016-2017,Sunderland,-0.99999999
2016-2017,West Ham,-0.424999826
2016-2017,Liverpool,0.899999413
2015-2016,Bournemouth,-0.548392375
2015-2016,Chelsea,0.152728823
2015-2016,Everton,0.100197865
2015-2016,Leicester,0.799983307
2015-2016,Man United,0.349578226
2015-2016,Norwich,-0.700382504
2015-2016,Arsenal,0.724678964
2015-2016,Newcastle,-0.52495576
2015-2016,Stoke,-0.35084001
2015-2016,West Brom,-0.350337647
2015-2016,Aston Villa,-1.225515161
2015-2016,Southampton,0.448231032
2015-2016,Sunderland,-0.350344046
2015-2016,Swansea,-0.251063436
2015-2016,Tottenham,0.849825768
2015-2016,Watford,-0.250205061
2015-2016,West Ham,0.351347561
2015-2016,Crystal Palace,-0.300058336
2015-2016,Man City,0.750574872
2015-2016,Liverpool,0.324947709
2014-2015,Arsenal,0.874826898
2014-2015,Leicester,-0.224839406
2014-2015,Man United,0.625614782
2014-2015,QPR,-0.774900588
2014-2015,Stoke,0.075085117
2014-2015,West Brom,-0.323172562
2014-2015,West Ham,-0.07829402
2014-2015,Liverpool,0.10004641
2014-2015,Newcastle,-0.573844334
2014-2015,Burnley,-0.624933583
2014-2015,Aston Villa,-0.649745006
2014-2015,Chelsea,1.025814608
2014-2015,Crystal Palace,-0.100316214
2014-2015,Everton,-0.050253128
2014-2015,Southampton,0.525116676
2014-2015,Swansea,-0.075743617
2014-2015,Hull,-0.450886203
2014-2015,Sunderland,-0.549898367
2014-2015,Tottenham,0.125253999
2014-2015,Man City,1.125068176
2013-2014,Arsenal,0.674601478
2013-2014,Liverpool,1.274698608
2013-2014,Norwich,-0.850343965
2013-2014,Sunderland,-0.474764554
2013-2014,Swansea,0.000228872
2013-2014,West Brom,-0.399399124
2013-2014,West Ham,-0.274674748
2013-2014,Chelsea,1.100271075
2013-2014,Crystal Palace,-0.375439176
2013-2014,Man City,1.62516313
2013-2014,Aston Villa,-0.549673882
2013-2014,Everton,0.550435017
2013-2014,Fulham,-1.125534632
2013-2014,Hull,-0.374924962
2013-2014,Newcastle,-0.399792213
2013-2014,Southampton,0.200285057
2013-2014,Stoke,-0.176785132
2013-2014,Cardiff,-1.049781195
2013-2014,Tottenham,0.100196936
2013-2014,Man United,0.525233214
2012-2013,Arsenal,0.876090691
2012-2013,Fulham,-0.249381974
2012-2013,Newcastle,-0.574511907
2012-2013,QPR,-0.7505975
2012-2013,Reading,-0.750818361
2012-2013,West Brom,-0.099578264
2012-2013,West Ham,-0.191027774
2012-2013,Man City,0.799241234
2012-2013,Wigan,-0.65056311
2012-2013,Everton,0.374043419
2012-2013,Chelsea,0.898994361
2012-2013,Aston Villa,-0.549096205
2012-2013,Man United,1.073525309
2012-2013,Norwich,-0.428243006
2012-2013,Southampton,-0.275278438
2012-2013,Swansea,-0.099516232
2012-2013,Tottenham,0.500606288
2012-2013,Liverpool,0.698789472
2012-2013,Stoke,-0.277504442
2012-2013,Sunderland,-0.325173862
